policy,k,h,H,ell_o,ell_s,C,D,Omega,Lambda,chi,gamma,gamma_real,C_shock,chi_shock_fluid,R,event_fraction,mean_T_tilde,mean_shock_delay,median_shock_delay,q90_shock_delay,q95_shock_delay,q99_shock_delay,ES95_shock_delay,prob_delay_ge_one_window,prob_negative_delay,mean_shock_blocked_fraction,prob_any_shock_block,mean_productive_A_shock,mean_productive_B_shock,mean_architecture_advantage_tilde,diffuse_mean_shock_delay,diffuse_q95_shock_delay,diffuse_ES95_shock_delay,diffuse_prob_negative_delay,q95_resilience_contrast,ES95_resilience_contrast
uniform,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.8,1.08,0.8,0.8,48,1.35,1000,1,74.353,3.617,3.0,7.0,8.0,11.0,9.43859649122807,0,0,0.1861111111111111,0.992,23.994,24.113,-8.57,1.125,4.0,4.821782178217822,0,4.0,4.616814313010249
uniform,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.8,1.08,0.6,0.6,36,1.8,1000,1,79.032,8.296,8.0,13.0,14.0,17.0,15.168831168831169,0,0,0.3093888888888889,1,20.095,20.184,-8.488,5.722,11.0,12.34920634920635,0,3.0,2.819624819624819
uniform,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.8,1.08,0.5,0.5,30,2.16,1000,1,81.321,10.585,10.0,16.0,17.0,20.0,18.573529411764707,0,0,0.3706388888888889,1,18.268,18.317,-10.249,9.772,16.0,17.865384615384617,0,1.0,0.7081447963800898
uniform,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.8,1.08,0.4,0.4,24,2.7,1000,1,85.134,14.398,14.0,20.0,21.0,25.0,22.571428571428573,0,0,0.4761666666666666,1,15.014,15.064,-10.878,14.214,21.0,22.774647887323944,0,0.0,-0.203219315895371
uniform,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,2.4,1.44,1.0,1.0,60,1.44,1000,1,81.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.253,1,18.725,18.84,-0.778,0.0,0.0,0.0,0,0.0,0.0
uniform,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,2.4,1.44,0.8,0.8,48,1.8,1000,1,85.517,4.497,4.0,8.0,10.0,15.0,12.559322033898304,0,0,0.3615277777777778,1,15.988,16.084,2.594,1.125,4.0,4.821782178217822,0,6.0,7.737539855680483
uniform,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,2.4,1.44,0.6,0.6,36,2.4,1000,1,90.525,9.505,9.0,16.0,19.0,24.0,21.735849056603772,0,0,0.4751944444444445,1,13.199,13.16,3.005,5.722,11.0,12.34920634920635,0,8.0,9.386642707397423
uniform,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,2.4,1.44,0.5,0.5,30,2.88,1000,1,92.301,11.281,10.0,18.0,21.0,26.0,23.651515151515152,0,0,0.5153055555555556,1,12.216,12.148,0.731,9.772,16.0,17.865384615384617,0,5.0,5.7861305361305355
uniform,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,2.4,1.44,0.4,0.4,24,3.6,1000,1,96.474,15.454,14.0,25.0,28.0,32.0,30.215686274509803,0.002,0,0.5971388888888889,1,10.162,10.113,0.462,14.214,21.0,22.774647887323944,0,7.0,7.441038387185859
uniform,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,2.4,1.44,1.0,1.0,60,1.44,1000,1,69.024,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2540555555555556,1,21.717,21.687,-12.774,0.0,0.0,0.0,0,0.0,0.0
uniform,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,2.4,1.44,0.8,0.8,48,1.8,1000,1,75.126,6.102,5.0,12.0,15.0,17.0,16.333333333333332,0,0,0.36194444444444446,1,18.447,18.423,-7.797,1.125,4.0,4.821782178217822,0,11.0,11.51155115511551
uniform,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,2.4,1.44,0.6,0.6,36,2.4,1000,1,80.263,11.239,10.0,18.0,20.0,23.0,21.43076923076923,0,0,0.4761666666666666,1,14.98,14.943,-7.257,5.722,11.0,12.34920634920635,0,9.0,9.08156288156288
