policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,1.0,9,0.6,0.36,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,35.9495786041407,77.9217094224623,-41.9721308183216,200,1.0,1.0,1.0,37.96,37.4,89.21,0.5600000000000023,-51.24999999999999,0.56,-51.25,37.96,38.0,41.0,42.0,0.01890065499351515,0.365,31.82191780821918,1.0
matched,1.0,10,0.666666666666667,0.444444444444444,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,41.3363113883861,77.9217094224623,-36.5853980340762,200,1.0,1.0,1.0,45.105,43.685,89.21,1.4199999999999946,-44.105,1.42,-44.105,45.105,45.0,52.099999999999994,55.0,0.04090081202726109,0.615,32.91056910569106,1.015
matched,1.0,10,0.666666666666667,0.444444444444444,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,36.7784911646231,77.9217094224623,-41.1432182578392,200,1.0,1.0,1.0,39.55,38.635,89.21,0.9149999999999991,-49.66,0.915,-49.66,39.55,39.0,44.0,47.0,0.030012524189491758,0.46,30.08695652173913,1.005
matched,1.0,10,0.666666666666667,0.444444444444444,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,33.1291095000415,77.9217094224623,-44.7925999224208,200,1.0,1.0,1.0,35.295,34.81,89.21,0.48499999999999943,-53.91499999999999,0.485,-53.915,35.295,35.0,39.0,41.0,0.022553888070702303,0.375,28.186666666666667,1.0
matched,1.0,10,0.666666666666667,0.444444444444444,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,30.1367937977557,77.9217094224623,-47.7849156247066,200,1.0,1.0,1.0,31.74,31.46,89.21,0.2799999999999976,-57.47,0.28,-57.47,31.74,31.0,35.0,36.04999999999998,0.016744154111373602,0.31,26.919354838709676,1.0
matched,1.0,11,0.733333333333333,0.537777777777778,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,35.3721982243951,77.9217094224623,-42.5495111980672,200,1.0,1.0,1.0,39.19,38.315,89.21,0.875,-50.019999999999996,0.875,-50.02,39.19,39.0,45.099999999999994,47.0,0.026452618931127443,0.51,30.372549019607842,1.0
matched,1.0,11,0.733333333333333,0.537777777777778,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,31.183534794890896,77.9217094224623,-46.7381746275714,200,1.0,1.0,1.0,33.85,33.465,89.21,0.384999999999998,-55.35999999999999,0.385,-55.36,33.85,34.0,38.0,40.0,0.01663624749040654,0.345,27.217391304347824,1.0
matched,1.0,11,0.733333333333333,0.537777777777778,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,27.8685970271181,77.9217094224623,-50.05311239534419,200,1.0,1.0,1.0,29.915,29.695,89.21,0.21999999999999886,-59.294999999999995,0.22,-59.295,29.915,30.0,33.0,34.0,0.011084955857918464,0.235,24.638297872340427,1.0
matched,1.0,11,0.733333333333333,0.537777777777778,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,25.1783334140237,77.9217094224623,-52.7433760084386,200,1.0,1.0,1.0,26.745,26.655,89.21,0.08999999999999986,-62.46499999999999,0.09,-62.465,26.745,27.0,29.0,30.0,0.007178114399401939,0.15,22.1,1.0
matched,1.0,13,0.866666666666667,0.751111111111111,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,25.7185270952505,77.9217094224623,-52.2031823272118,200,1.0,1.0,1.0,28.485,28.2,89.21,0.28500000000000014,-60.724999999999994,0.285,-60.725,28.485,28.0,34.0,36.0,0.015317214695088028,0.32,20.6875,1.0
