panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,uniform,8,120,180,1.5,0.9,0.81,0.8,14,500,1.0,181.178,181.0,182.0,182.0,0.8926517936973509,1.0,17.2221995022085,180.71910600292,163.496906500711,16.4383561643836,,,,0.458893997079997
A,product,uniform,8,120,180,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767598,13.1757146767632,3.4106051316484797e-12,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,16,240,144,0.6,0.0,0.0,0.8,14,500,1.0,222.202,222.0,227.0,228.0,0.0054047109275255,0.514,219.172692686161,219.172692686145,-1.63709046319127e-11,240.0,,,h0_matched_equals_uniform_pathwise,3.0293073138549858
A,product,uniform,16,240,144,0.6,0.25,0.0625,0.8,14,500,1.0,270.576,270.0,292.0,295.0,0.3120525256108863,1.0,200.581057618983,270.915855054869,70.3347974358859,50.5263157894737,,,,-0.3398550548689627
A,product,uniform,16,240,144,0.6,0.5,0.25,0.8,14,500,1.0,296.61,296.0,305.0,307.0,0.6021334745757674,1.0,137.805660751401,297.428796464995,159.623135713594,28.2352941176471,,,,-0.818796464994989
A,product,uniform,16,240,144,0.6,0.75,0.5625,0.8,14,500,1.0,155.302,155.0,158.0,158.0,0.7537086283966964,1.0,31.0054348582253,154.313015108006,123.307580249781,19.5918367346939,,,,0.9889848919939936
A,product,uniform,16,240,144,0.6,0.9,0.81,0.8,14,500,1.0,145.18,145.0,146.0,146.0,0.8663662055469328,1.0,17.6314199414264,145.049216747292,127.417796805866,16.551724137931,,,,0.1307832527079995
A,product,uniform,16,240,144,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767904,13.1757146767632,-2.72848410531878e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,16,240,240,1.0,0.0,0.0,0.8,14,500,1.0,251.108,251.0,259.0,262.0,0.1369143704210637,1.0,219.172692686175,219.172692686188,1.36424205265939e-11,240.0,,,h0_matched_equals_uniform_pathwise,31.935307313812018
A,product,uniform,16,240,240,1.0,0.25,0.0625,0.8,14,500,1.0,285.18,283.0,298.0,304.0,0.3424623218501182,1.0,200.581057618956,281.971811594711,81.3907539757551,50.5263157894737,,,,3.208188405288979
A,product,uniform,16,240,240,1.0,0.5,0.25,0.8,14,500,1.0,344.748,342.0,395.0,409.0,0.6442300277227928,1.0,137.805660751428,352.516141379182,214.710480627754,28.2352941176471,,,,-7.768141379181998
A,product,uniform,16,240,240,1.0,0.75,0.5625,0.8,14,500,1.0,250.606,250.0,253.0,253.0,0.8273901943624361,1.0,31.0054348581843,249.534624346617,218.529189488433,19.5918367346939,,,,1.0713756533830008
A,product,uniform,16,240,240,1.0,0.9,0.81,0.8,14,500,1.0,241.198,241.0,242.0,242.0,0.9160137050352604,1.0,17.6314199414264,241.026423447745,223.395003506319,16.551724137931,,,,0.17157655225500434
A,product,uniform,16,240,240,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
